Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
Viešoji įstaiga HUMANA PEOPLE TO PEOPLE BALTIC,110072586,"Kibirkšties g. 6, Vilnius",29-24-524,7/26/2017,7/26/2019,Sukilėlių pr. 84,Eiguliai,Iškaba: „HUMANA  DĖVĖTI DRABUŽIAI  HUMANA  PEOPLE TO PEOPLE“,70-13-193,0.96,
Viešoji įstaiga HUMANA PEOPLE TO PEOPLE BALTIC,110072586,"Kibirkšties g. 6, Vilnius",29-24-1343,6/14/2016,6/14/2019,P. Lukšio g. 60,Eiguliai,Iškaba: „HUMANA  DĖVĖTI DRABUŽIAI“,70-13-668,2.4,
Viešoji įstaiga HUMANA PEOPLE TO PEOPLE BALTIC,110072586,"Kibirkšties g. 6, Vilnius",29-24-1713,9/19/2016,9/18/2018,M. Daukšos g. 25,Senamiestis,Iškaba: „HUMANA  PEOPLE TO PEOPLE   HUMANA Dėvėti drabužiai   Dėvėti drabužiai (8 vnt.)“,70-13-1009,3.66,
Viešoji įstaiga HUMANA PEOPLE TO PEOPLE BALTIC,110072586,"Kibirkšties g. 6, Vilnius",29-24-15,1/5/2017,12/26/2021,V. Krėvės pr. 43,Dainava,Iškaba: „HUMANA  PEOPLE TO PEOPLE   HUMANA Dėvėti drabužiai   “,70-13-1445,3,
Viešoji įstaiga HUMANA PEOPLE TO PEOPLE BALTIC,110072586,"Kibirkšties g. 6, Vilnius",29-24-556,4/30/2017,4/26/2022,E. Ožeškienės g. 9,Naujamiestis,Iškaba: „HUMANA. DĖVĖTI DRABUŽIAI“,70-13-184,3.15,
Viešoji įstaiga HUMANA PEOPLE TO PEOPLE BALTIC,110072586,"Kirtimų g. 47, Vilnius",29-24-2150,10/16/2017,10/1/2022,Savanorių pr. 172,Žaliakalnis,Iškaba: „HUMANA  DĖVĖTI DRABUŽIAI  HUMANA  PEOPLE TO PEOPLE“,70-13-1365,3.15,
Viešoji įstaiga HUMANA PEOPLE TO PEOPLE BALTIC,110072586,"Kibirkšties g. 6, Vilnius",29-24-2209,10/19/2017,10/9/2022,Neries krantinė 16,Vilijampolė,Iškaba: „HUMANA  DĖVĖTI DRABUŽIAI  HUMANA  PEOPLE TO PEOPLE“,70-13-1382,4.5,
Viešoji įstaiga „Humana People to People Baltic“,110072586,"Kibirkšties g. 6, Vilnius",29-24-1388,6/27/2018,6/24/2023,Kovo 11-osios g. 22,Gričiupis,Iškaba: „HUMANA. DĖVĖTI DRABUŽIAI“,70-13-745,4,
Valstybės įmonė „REGITRA“,110078991,"Liepkalnio g. 97, Vilnius",29-24-1273,6/10/2015,6/8/2020,Raudondvario pl. 234,Lampėdžiai,Iškaba: „ Regitra (7 vnt.)  Transporto priemonių registravimas  Priėmimo laikas (3 vnt.) “,70-13-683,17.49,
Valstybės įmonė „REGITRA“,110078991,"Liepkalnio g. 97, Vilnius",29-24-1274,6/10/2015,6/8/2020,Raudondvario pl. 234,Lampėdžiai,Komercinė nuoroda: „ Regitra  Vairuotojų egzaminavimas  Vairuotojų pažymėjimų išdavimas (2 vnt.) Transporto priemonių registravimas  “,70-13-684,7.68,
Valstybės įmonė „REGITRA“,110078991,"Liepkalnio g. 97, Vilnius",29-24-1275,6/10/2015,6/8/2020,Raudondvario pl. 234,Lampėdžiai,Komercinė nuoroda: „ Regitra  Vairuotojų egzaminavimas  Vairuotojų pažymėjimų išdavimas (2 vnt.) “,70-13-685,6,
Valstybės įmonė „REGITRA“,110078991,"Liepkalnio g. 97, Vilnius",29-24-1276,6/10/2015,6/8/2020,Raudondvario pl. 234,Lampėdžiai,Komercinė nuoroda: „ Regitra  Transporto priemonių registravimas“,70-13-686,0.96,
Valstybės įmonė „REGITRA“,110078991,"Liepkalnio g. 97, Vilnius",29-24-1901,10/14/2015,10/13/2020,Taikos pr. 145,Naujasodis,Iškaba: „REGITRA Logotipas (2 vnt.)“,70-13-1134,14.4,
Valstybės įmonė „REGITRA“,110078991,"Liepkalnio g. 97, Vilnius",29-24-1902,10/14/2015,10/13/2020,Taikos pr. 145,Naujasodis,Komercinė nuoroda: „REGITRA Logotipas (2 vnt.)  Registracijos pradžia  Tapatumo nustatymas  Vairuotojo pažymėjimų išdavimas“,70-13-1134,2.54,
UAB „PZU LIETUVA GYVYBĖS DRAUDIMAS“,110082737,"Konstitucijos pr. 7, Vilnius",29-24-1276,5/20/2016,9/11/2018,Savanorių pr. 363A,Eiguliai,Iškaba: „PZU   “,70-13-596,3.76,
LIETUVOS CENTRINĖ KREDITO UNIJA,110086034,"Savanorių pr. 363, Kaunas",29-24-1098,5/20/2015,4/28/2020,Savanorių pr. 363,Eiguliai,Iškaba: „LKU  Logotipas“,70-13-493,5.88,
Uždaroji akcinė bendrovė „AGA“,110178963,"Didlaukio g. 69, Vilnius",29-24-1680,7/25/2017,7/13/2022,Prie Palemono g. 7,Palemonas,Komercinė nuoroda: „Aga  Techninių dujų centras“,70-13-1079,1.6,
